Time Slot,Link 0,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
0,-1,-1,-1,-1,-1,-1,-1,-1
1,0,3,2,1,3,3,3,0
2,1,1,1,3,2,0,3,0
3,1,3,0,2,1,0,1,1
4,0,2,-1,0,0,1,1,3
5,3,0,0,0,-1,1,0,2
6,3,-1,3,1,-1,3,-1,3
7,3,1,-1,1,3,3,-1,0
8,1,1,3,3,-1,-1,-1,3
9,-1,-1,1,3,-1,3,-1,-1
10,-1,-1,-1,3,-1,-1,-1,-1
11,1,3,2,0,-1,1,-1,0
12,0,0,1,1,2,0,-1,3
13,3,1,-1,3,1,3,-1,0
14,-1,3,3,-1,-1,3,1,1
15,-1,-1,-1,3,3,1,-1,-1
16,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,-1
